"id","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE","STATUS","ALIAS","DESCRIPTION","NAME","parentbusinesssubmoduleid"
122,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","INACTIVE","VIEW_SERVICE_WISE_SUMMARY","View Service Wise Summary","View Service Wise Summary",22
123,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","INACTIVE","VIEW_SERVICE_WISE_DETAIL","View Service Wise Detail","View Service Wise Detail",23
124,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","GENERATE_SERVICE_WISE_SUMMARY_REPORT","Generate Service Wise Summary Report","Generate Service Wise Summary Report",22
125,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","GENERATE_SERVICE_WISE_DETAIL_REPORT","Generate Service Wise Detail Report","Generate Service Wise Detail Report",23
126,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","DOWNLOAD_SERVICE_WISE_SUMMARY_REPORT","Download Service Wise Summary Report","Download Service Wise Summary Report",22
127,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","DOWNLOAD_SERVICE_WISE_DETAIL_REPORT","Download Service Wise Detail Report","Download Service Wise Detail Report",23
128,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","ADD_SERVICE_TO_FILE_RENAME_AGENT","Add service to file rename agent","Add Service To File Rename Agent",24
129,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0001","ACTIVE","UPDATE_SERVICE_TO_FILE_RENAME_AGENT","Update service to file rename agent","Update Service To File Rename Agent",24
130,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0001","ACTIVE","DELETE_SERVICE_FROM_FILE_RENAME_AGENT","Delete service from file rename agent","Delete Service From File Rename Agent",24
131,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0001","ACTIVE","UPDATE_FILE_RENAME_AGENT_DETAILS","Update file rename agent details","Update File Rename Agent Details",24
132,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0001","ACTIVE","VIEW_FILE_RENAME_AGENT_DETAILS","View file rename agent details","View File Rename Agent Details",24
133,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","DO_MIGRATION","Do Migration","Do Migration",25
134,1,"2017-01-13 10:29:20.0000",3,"2017-01-13 10:29:20.0000","ACTIVE","DELETE_FILE","Delete File","Delete File",26
135,1,"2017-01-13 10:29:20.0000",3,"2017-01-13 10:29:20.0000","ACTIVE","DIRECT_REPROCESS","Direct Re-process","Direct Re-process",26
136,1,"2017-01-13 10:29:20.0000",3,"2017-01-13 10:29:20.0000","ACTIVE","UPLOAD_REPROCESS_FILE","Upload Re-process File","Upload Re-process File",26
