"ID","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE","CREATEDDATE","STATUS","ENTITYTYPE","MAXRANGE","MINRANGE","ENTITYREGEXID","ADDITIONALCHECKVAL"
118,1,"2016-07-11 16:21:09.0023",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0023","ACTIVE","com.elitecore.sm.services.model.ProcessingService",172800,1,51,
119,1,"2016-07-11 16:21:09.0024",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0024","ACTIVE","com.elitecore.sm.services.model.ProcessingService",5000,1,193,-1
120,1,"2016-07-11 16:21:09.0025",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0025","ACTIVE","com.elitecore.sm.services.model.ProcessingService",2880,1,194,-1
121,1,"2016-07-11 16:21:09.0084",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0084","ACTIVE","com.elitecore.sm.services.model.ProcessingService",5000,1,195,-1
122,1,"2016-07-11 16:21:09.0084",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0084","ACTIVE","com.elitecore.sm.services.model.ProcessingService",50000,1,205,
123,1,"2016-07-11 16:21:09.0084",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0084","ACTIVE","com.elitecore.sm.services.model.ProcessingService",2880,1,206,
124,1,"2016-07-11 16:21:09.0084",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0084","ACTIVE","com.elitecore.sm.services.model.ProcessingService",100,1,207,
125,1,"2016-07-11 16:21:09.0084",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0084","ACTIVE","com.elitecore.sm.services.model.ProcessingService",10000000,1,209,-1
126,1,"2016-07-11 16:21:09.0081",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0081","ACTIVE","com.elitecore.sm.pathlist.model.ProcessingPathList",50000,1,218,-1
127,1,"2016-07-11 16:21:09.0081",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0081","ACTIVE","com.elitecore.sm.pathlist.model.CharRenameOperation",255,0,170,-1
128,1,"2016-07-11 16:21:09.0081",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0081","ACTIVE","com.elitecore.sm.pathlist.model.CharRenameOperation",255,0,171,-1
129,1,2016-07-11 16:21:09.0086,1,2016-07-12 10:17:13.0002,2016-07-11 16:21:09.0086,ACTIVE,com.elitecore.sm.agent.model.FileRenameAgent,8640000,60000,199,
130,1,2016-07-11 16:21:09.0086,1,2016-07-12 10:17:13.0002,2016-07-11 16:21:09.0086,ACTIVE,com.elitecore.sm.agent.model.FileRenameAgent,8640000,0,216,
131,1,"2016-07-11 16:21:09.0081",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0081","ACTIVE","com.elitecore.sm.pathlist.model.DataConsolidationPathList",50000,1,218,-1
132,1,"2016-07-11 16:21:09.0081",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0081","ACTIVE","com.elitecore.sm.services.model.DataConsolidationService",86400,1,51,
133,1,"2016-07-11 16:21:09.0021",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0021","ACTIVE","com.elitecore.sm.services.model.DataConsolidationService",100000,1,55,
134,1,"2016-07-11 16:21:09.0018",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0018","ACTIVE","com.elitecore.sm.services.model.DataConsolidationService",100,1,54,
135,1,"2016-07-11 16:21:09.0019",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0019","ACTIVE","com.elitecore.sm.services.model.DataConsolidationService",100,1,53,
136,1,"2016-07-11 16:21:09.0020",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0020","ACTIVE","com.elitecore.sm.services.model.DataConsolidationService",500,1,52,
137,1,"2016-07-11 16:21:09.0024",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0024","ACTIVE","com.elitecore.sm.services.model.DataConsolidationService",5000,1,193,-1
138,1,"2016-07-11 16:21:09.0084",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0084","ACTIVE","com.elitecore.sm.services.model.DataConsolidationService",5000,1,195,-1
139,1,"2016-07-11 16:21:09.0025",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0025","ACTIVE","com.elitecore.sm.services.model.DataConsolidationService",2880,1,194,-1
140,1,"2016-07-11 16:21:09.0025",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0025","ACTIVE","com.elitecore.sm.services.model.DataConsolidationService",5000,1,237,
141,1,"2016-07-11 16:21:09.0025",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0025","ACTIVE","com.elitecore.sm.services.model.DataConsolidationService",20000,1,238,-1
142,1,"2016-07-11 16:21:09.0025",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0025","ACTIVE","com.elitecore.sm.services.model.DataConsolidationService",20000,1,239,-1
143,1,"2016-07-11 16:21:09.0000",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0000","ACTIVE","com.elitecore.sm.services.model.GTPPrimeCollectionService",200,1,53,
144,1,"2016-07-11 16:21:09.0000",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0000","ACTIVE","com.elitecore.sm.services.model.GTPPrimeCollectionService",200,1,54,
145,1,"2016-07-11 16:21:09.0000",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0000","ACTIVE","com.elitecore.sm.services.model.GTPPrimeCollectionService",1000000,1,55,
146,1,"2016-07-11 16:21:09.0000",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0000","ACTIVE","com.elitecore.sm.consolidationservice.model.DataConsolidationMapping",100000,1,248,-1
147,1,"2016-07-11 16:21:09.0025",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0025","ACTIVE","com.elitecore.sm.consolidationservice.model.DataConsolidationMapping",100000,1,249,-1
148,1,"2016-07-11 16:21:09.0025",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0025","ACTIVE","com.elitecore.sm.consolidationservice.model.DataConsolidationMapping",100000,1,250,-1
149,1,"2016-07-11 16:21:09.0025",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0025","ACTIVE","com.elitecore.sm.consolidationservice.model.DataConsolidation",5000,1,252,-1
