ID,CREATEDBYSTAFFID,CREATEDDATE,LASTUPDATEDBYSTAFFID,LASTUPDATEDDATE,STATUS,ENTITYALIAS,ENTITYTYPE,ISDEFAULT,SERVERTYPEID
73,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,ASCII_PARSING_PLUGIN,PLUGIN_TYPE,Y,2
74,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,ASN1_PARSING_PLUGIN,PLUGIN_TYPE,Y,2
75,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,DEFAULT_PARSING_PLUGIN,PLUGIN_TYPE,Y,2
76,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,DETAIL_LOCAL_PARSING_PLUGIN,PLUGIN_TYPE,Y,2
77,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,FIXED_LENGTH_ASCII_PARSING_PLUGIN,PLUGIN_TYPE,Y,2
78,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,NATFLOW_PARSING_PLUGIN,PLUGIN_TYPE,Y,2
79,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,NATFLOW_ASN_PARSING_PLUGIN,PLUGIN_TYPE,Y,2
80,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,XML_PARSING_PLUGIN,PLUGIN_TYPE,Y,2
81,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,REGEX_PARSING_PLUGIN,PLUGIN_TYPE,Y,2
82,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,FILE_RENAME_AGENT,AGENT,Y,2
83,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,PACKET_STATISTICS_AGENT,AGENT,Y,2
84,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,RULE_DATA_DICTIONARY,GENERAL,Y,2
85,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,REPROCESSING,GENERAL,Y,2
86,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,WEB_SERVICE_CONFIGURATION,GENERAL,Y,2
87,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,POLICIES_CONFIGURATION,GENERAL,Y,2
88,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,DATA_CONSOLIDATION_DETAIL,GENERAL,Y,2
89,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,RELOAD_CACHE,GENERAL,Y,2
90,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,REPROCESSING FILE,GENERAL,Y,2
91,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,MANUALLY COLLECTION,GENERAL,Y,2
92,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,WEBSERVICE_COUNTER,GENERAL,Y,2
93,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,COLLECTION_SERVICE,SERVICE_TYPE,Y,3
94,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,RADIUS_COLLECTION_SERVICE,SERVICE_TYPE,Y,3
