"ID","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE","STATUS","APPLICABILITY","DATATYPE","DATATYPESEMANTICS","ELEMENTID","FIELDSTATUS","ATTRGROUP","NAME"
34,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","option","unsigned8","","9","current","ipHeader","sourceIPv4PrefixLength"
35,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","option","unsigned8","","29","current","ipHeader","sourceIPv6PrefixLength"
36,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","ipv4Address","","44","current","ipHeader","sourceIPv4Prefix"
37,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","ipv6Address","","170","current","ipHeader","sourceIPv6Prefix"
38,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","ipv4Address","identifier","12","current","ipHeader","destinationIPv4Address"
39,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","ipv6Address","identifier","28","current","ipHeader","destinationIPv6Address"
40,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","option","unsigned8","","13","current","ipHeader","destinationIPv4PrefixLength"
41,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","option","unsigned8","","30","current","ipHeader","destinationIPv6PrefixLength"
42,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","ipv4Address","","45","current","ipHeader","destinationIPv4Prefix"
43,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","ipv6Address","","169","current","ipHeader","destinationIPv6Prefix"
44,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned8","","192","current","ipHeader","ipTTL"
45,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned8","identifier","4","current","ipHeader","protocolIdentifier"
46,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned8","","193","current","ipHeader","nextHeaderIPv6"
47,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned8","identifier","195","current","ipHeader","ipDiffServCodePoint"
48,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned8","identifier","196","current","ipHeader","ipPrecedence"
49,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned8","identifier","5","current","ipHeader","ipClassOfService"
50,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned8","identifier","55","current","ipHeader","postIpClassOfService"
51,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned32","identifier","31","current","ipHeader","flowLabelIPv6"
52,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","unsigned8","flags","206","current","ipHeader","isMulticast"
53,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","unsigned32","identifier","54","current","ipHeader","fragmentIdentification"
54,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned16","identifier","88","current","ipHeader","fragmentOffset"
55,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned8","flags","197","current","ipHeader","fragmentFlags"
56,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned8","","189","current","ipHeader","ipHeaderLength"
57,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned8","","207","current","ipHeader","ipv4IHL"
